i	requested_sparsity	achieved_sparsity	output	pval	fval
4	0	0.00502	./data/simulated_new/sparsity_0/4.tsv	9.99000999000999e-4	380.2047941964605
4	0.1	0.10452	./data/simulated_new/sparsity_0.1/4.tsv	9.99000999000999e-4	17.800893741125858
4	0.2	0.20394	./data/simulated_new/sparsity_0.2/4.tsv	9.99000999000999e-4	7.273574957547164
4	0.3	0.3036	./data/simulated_new/sparsity_0.3/4.tsv	9.99000999000999e-4	4.2924236742372415
4	0.4	0.403005	./data/simulated_new/sparsity_0.4/4.tsv	9.99000999000999e-4	2.840652977096305
4	0.5	0.502475	./data/simulated_new/sparsity_0.5/4.tsv	9.99000999000999e-4	2.0728092385320607
4	0.6	0.60189	./data/simulated_new/sparsity_0.6/4.tsv	9.99000999000999e-4	1.934540751481177
4	0.7	0.70161	./data/simulated_new/sparsity_0.7/4.tsv	9.99000999000999e-4	1.6416957243421724
5	0	0.00514	./data/simulated_new/sparsity_0/5.tsv	9.99000999000999e-4	388.71650088644304
5	0.1	0.104655	./data/simulated_new/sparsity_0.1/5.tsv	9.99000999000999e-4	17.61625939313587
5	0.2	0.20424	./data/simulated_new/sparsity_0.2/5.tsv	9.99000999000999e-4	6.846548324590321
5	0.3	0.30348	./data/simulated_new/sparsity_0.3/5.tsv	9.99000999000999e-4	4.168009986173919
5	0.4	0.40313	./data/simulated_new/sparsity_0.4/5.tsv	9.99000999000999e-4	2.921893138893606
5	0.5	0.502545	./data/simulated_new/sparsity_0.5/5.tsv	9.99000999000999e-4	2.3966824710230785
5	0.6	0.60202	./data/simulated_new/sparsity_0.6/5.tsv	9.99000999000999e-4	1.7584154994732166
5	0.7	0.701445	./data/simulated_new/sparsity_0.7/5.tsv	9.99000999000999e-4	1.6362573375117022
6	0	0.00353	./data/simulated_new/sparsity_0/6.tsv	9.99000999000999e-4	390.2448354683542
6	0.1	0.1032	./data/simulated_new/sparsity_0.1/6.tsv	9.99000999000999e-4	11.697423083127768
6	0.2	0.202805	./data/simulated_new/sparsity_0.2/6.tsv	9.99000999000999e-4	5.283028445441184
6	0.3	0.302455	./data/simulated_new/sparsity_0.3/6.tsv	9.99000999000999e-4	2.97281760504285
6	0.4	0.402015	./data/simulated_new/sparsity_0.4/6.tsv	9.99000999000999e-4	2.3244645644019886
6	0.5	0.501675	./data/simulated_new/sparsity_0.5/6.tsv	9.99000999000999e-4	1.8116995742757824
6	0.6	0.601425	./data/simulated_new/sparsity_0.6/6.tsv	9.99000999000999e-4	1.5867333981714293
6	0.7	0.70105	./data/simulated_new/sparsity_0.7/6.tsv	9.99000999000999e-4	1.470826258517712
7	0	0.00448	./data/simulated_new/sparsity_0/7.tsv	9.99000999000999e-4	403.4097453027359
7	0.1	0.10402	./data/simulated_new/sparsity_0.1/7.tsv	9.99000999000999e-4	12.397523218271635
7	0.2	0.203555	./data/simulated_new/sparsity_0.2/7.tsv	9.99000999000999e-4	5.31219463708272
7	0.3	0.303125	./data/simulated_new/sparsity_0.3/7.tsv	9.99000999000999e-4	3.1968682940801
7	0.4	0.402625	./data/simulated_new/sparsity_0.4/7.tsv	9.99000999000999e-4	2.2319942435704285
7	0.5	0.502315	./data/simulated_new/sparsity_0.5/7.tsv	9.99000999000999e-4	1.6691315860139018
7	0.6	0.601785	./data/simulated_new/sparsity_0.6/7.tsv	9.99000999000999e-4	1.738501421168542
7	0.7	0.701235	./data/simulated_new/sparsity_0.7/7.tsv	9.99000999000999e-4	1.5374964185427695
8	0	0.00465	./data/simulated_new/sparsity_0/8.tsv	9.99000999000999e-4	383.63257852006353
8	0.1	0.104125	./data/simulated_new/sparsity_0.1/8.tsv	9.99000999000999e-4	15.296409787274243
8	0.2	0.203735	./data/simulated_new/sparsity_0.2/8.tsv	9.99000999000999e-4	6.039719782444021
8	0.3	0.30318	./data/simulated_new/sparsity_0.3/8.tsv	9.99000999000999e-4	3.6685142975251677
8	0.4	0.40281	./data/simulated_new/sparsity_0.4/8.tsv	9.99000999000999e-4	2.5067645700371566
8	0.5	0.502235	./data/simulated_new/sparsity_0.5/8.tsv	9.99000999000999e-4	2.164451315967082
8	0.6	0.60178	./data/simulated_new/sparsity_0.6/8.tsv	9.99000999000999e-4	1.8050404148129482
8	0.7	0.70139	./data/simulated_new/sparsity_0.7/8.tsv	9.99000999000999e-4	1.4855053682131873
9	0	0.00547	./data/simulated_new/sparsity_0/9.tsv	9.99000999000999e-4	389.1535275657071
9	0.1	0.1049	./data/simulated_new/sparsity_0.1/9.tsv	9.99000999000999e-4	17.861176809819746
9	0.2	0.204425	./data/simulated_new/sparsity_0.2/9.tsv	9.99000999000999e-4	6.705994227141963
9	0.3	0.303775	./data/simulated_new/sparsity_0.3/9.tsv	9.99000999000999e-4	4.1293865931795715
9	0.4	0.40316	./data/simulated_new/sparsity_0.4/9.tsv	9.99000999000999e-4	2.8245318828472423
9	0.5	0.502705	./data/simulated_new/sparsity_0.5/9.tsv	9.99000999000999e-4	2.06086306998684
9	0.6	0.6022	./data/simulated_new/sparsity_0.6/9.tsv	9.99000999000999e-4	1.7611567095893539
9	0.7	0.701615	./data/simulated_new/sparsity_0.7/9.tsv	9.99000999000999e-4	1.7740032288888938
10	0	0.004665	./data/simulated_new/sparsity_0/10.tsv	9.99000999000999e-4	386.8036698980095
10	0.1	0.1042	./data/simulated_new/sparsity_0.1/10.tsv	9.99000999000999e-4	15.193386174687049
10	0.2	0.203715	./data/simulated_new/sparsity_0.2/10.tsv	9.99000999000999e-4	6.298377755123565
10	0.3	0.303325	./data/simulated_new/sparsity_0.3/10.tsv	9.99000999000999e-4	3.970045249515231
10	0.4	0.40276	./data/simulated_new/sparsity_0.4/10.tsv	9.99000999000999e-4	2.6701212892631325
10	0.5	0.50246	./data/simulated_new/sparsity_0.5/10.tsv	9.99000999000999e-4	1.9618134155334237
10	0.6	0.60188	./data/simulated_new/sparsity_0.6/10.tsv	9.99000999000999e-4	1.5546550558830996
10	0.7	0.701445	./data/simulated_new/sparsity_0.7/10.tsv	9.99000999000999e-4	1.4098939782376085
11	0	0.004595	./data/simulated_new/sparsity_0/11.tsv	9.99000999000999e-4	370.71400515965706
11	0.1	0.10413	./data/simulated_new/sparsity_0.1/11.tsv	9.99000999000999e-4	15.50218633754717
11	0.2	0.20364	./data/simulated_new/sparsity_0.2/11.tsv	9.99000999000999e-4	6.521730333311654
11	0.3	0.30316	./data/simulated_new/sparsity_0.3/11.tsv	9.99000999000999e-4	3.6987081023756523
11	0.4	0.402835	./data/simulated_new/sparsity_0.4/11.tsv	9.99000999000999e-4	2.863531110083713
11	0.5	0.50224	./data/simulated_new/sparsity_0.5/11.tsv	9.99000999000999e-4	2.5481822661806106
11	0.6	0.601865	./data/simulated_new/sparsity_0.6/11.tsv	9.99000999000999e-4	1.7076244375549348
11	0.7	0.70132	./data/simulated_new/sparsity_0.7/11.tsv	9.99000999000999e-4	1.4475685756867092
12	0	0.005225	./data/simulated_new/sparsity_0/12.tsv	9.99000999000999e-4	373.2311476949871
12	0.1	0.1047	./data/simulated_new/sparsity_0.1/12.tsv	9.99000999000999e-4	17.803576127925844
12	0.2	0.20435	./data/simulated_new/sparsity_0.2/12.tsv	9.99000999000999e-4	7.57713437358298
12	0.3	0.30359	./data/simulated_new/sparsity_0.3/12.tsv	9.99000999000999e-4	4.4454983492471385
12	0.4	0.40322	./data/simulated_new/sparsity_0.4/12.tsv	9.99000999000999e-4	3.0657466058032665
12	0.5	0.50277	./data/simulated_new/sparsity_0.5/12.tsv	9.99000999000999e-4	2.182943915409874
12	0.6	0.602015	./data/simulated_new/sparsity_0.6/12.tsv	9.99000999000999e-4	2.0088577841349773
12	0.7	0.701665	./data/simulated_new/sparsity_0.7/12.tsv	9.99000999000999e-4	1.452705518337476
13	0	0.00472	./data/simulated_new/sparsity_0/13.tsv	9.99000999000999e-4	380.44049629508214
13	0.1	0.10431	./data/simulated_new/sparsity_0.1/13.tsv	9.99000999000999e-4	16.609837315414833
13	0.2	0.203845	./data/simulated_new/sparsity_0.2/13.tsv	9.99000999000999e-4	6.393712805848067
13	0.3	0.30336	./data/simulated_new/sparsity_0.3/13.tsv	9.99000999000999e-4	3.8431473376322507
13	0.4	0.40278	./data/simulated_new/sparsity_0.4/13.tsv	9.99000999000999e-4	2.5580968717142643
13	0.5	0.502375	./data/simulated_new/sparsity_0.5/13.tsv	9.99000999000999e-4	1.9720535489915059
13	0.6	0.601975	./data/simulated_new/sparsity_0.6/13.tsv	9.99000999000999e-4	1.9361009776368152
13	0.7	0.701525	./data/simulated_new/sparsity_0.7/13.tsv	9.99000999000999e-4	1.3332669103525407
14	0	0.004465	./data/simulated_new/sparsity_0/14.tsv	9.99000999000999e-4	399.6640238996148
14	0.1	0.10406	./data/simulated_new/sparsity_0.1/14.tsv	9.99000999000999e-4	14.044744497928368
14	0.2	0.20352	./data/simulated_new/sparsity_0.2/14.tsv	9.99000999000999e-4	5.613060434549048
14	0.3	0.303105	./data/simulated_new/sparsity_0.3/14.tsv	9.99000999000999e-4	3.6398231847599094
14	0.4	0.402725	./data/simulated_new/sparsity_0.4/14.tsv	9.99000999000999e-4	2.694307232661505
14	0.5	0.50223	./data/simulated_new/sparsity_0.5/14.tsv	9.99000999000999e-4	2.033374669623445
14	0.6	0.601835	./data/simulated_new/sparsity_0.6/14.tsv	9.99000999000999e-4	1.780363797611554
14	0.7	0.701205	./data/simulated_new/sparsity_0.7/14.tsv	9.99000999000999e-4	1.6036854790123034
15	0	0.005085	./data/simulated_new/sparsity_0/15.tsv	9.99000999000999e-4	385.6960371392287
15	0.1	0.104605	./data/simulated_new/sparsity_0.1/15.tsv	9.99000999000999e-4	15.865237483828976
15	0.2	0.204015	./data/simulated_new/sparsity_0.2/15.tsv	9.99000999000999e-4	6.323835024273918
15	0.3	0.303545	./data/simulated_new/sparsity_0.3/15.tsv	9.99000999000999e-4	3.976584830407557
15	0.4	0.403025	./data/simulated_new/sparsity_0.4/15.tsv	9.99000999000999e-4	2.751481243386498
15	0.5	0.502485	./data/simulated_new/sparsity_0.5/15.tsv	9.99000999000999e-4	1.9927482687649776
15	0.6	0.601975	./data/simulated_new/sparsity_0.6/15.tsv	9.99000999000999e-4	1.6353422782979272
15	0.7	0.70144	./data/simulated_new/sparsity_0.7/15.tsv	9.99000999000999e-4	1.44339510197236
16	0	0.004535	./data/simulated_new/sparsity_0/16.tsv	9.99000999000999e-4	377.21819472248444
16	0.1	0.104075	./data/simulated_new/sparsity_0.1/16.tsv	9.99000999000999e-4	14.186595051133164
16	0.2	0.203685	./data/simulated_new/sparsity_0.2/16.tsv	9.99000999000999e-4	5.936494708693247
16	0.3	0.303085	./data/simulated_new/sparsity_0.3/16.tsv	9.99000999000999e-4	3.6149034627493233
16	0.4	0.40268	./data/simulated_new/sparsity_0.4/16.tsv	9.99000999000999e-4	2.7546780358836407
16	0.5	0.50222	./data/simulated_new/sparsity_0.5/16.tsv	9.99000999000999e-4	2.0569251954758756
16	0.6	0.60177	./data/simulated_new/sparsity_0.6/16.tsv	9.99000999000999e-4	1.8409155035598892
16	0.7	0.701525	./data/simulated_new/sparsity_0.7/16.tsv	9.99000999000999e-4	1.4461309550454797
17	0	0.00441	./data/simulated_new/sparsity_0/17.tsv	9.99000999000999e-4	381.4624079026298
17	0.1	0.103925	./data/simulated_new/sparsity_0.1/17.tsv	9.99000999000999e-4	14.342780987937461
17	0.2	0.203525	./data/simulated_new/sparsity_0.2/17.tsv	9.99000999000999e-4	5.555441295308202
17	0.3	0.30305	./data/simulated_new/sparsity_0.3/17.tsv	9.99000999000999e-4	3.770695544218642
17	0.4	0.40274	./data/simulated_new/sparsity_0.4/17.tsv	9.99000999000999e-4	2.594050159037058
17	0.5	0.502185	./data/simulated_new/sparsity_0.5/17.tsv	9.99000999000999e-4	2.0741518919373103
17	0.6	0.60167	./data/simulated_new/sparsity_0.6/17.tsv	9.99000999000999e-4	1.830732101605104
17	0.7	0.701465	./data/simulated_new/sparsity_0.7/17.tsv	9.99000999000999e-4	1.6773865679836337
18	0	0.00441	./data/simulated_new/sparsity_0/18.tsv	9.99000999000999e-4	388.1627658258768
18	0.1	0.103965	./data/simulated_new/sparsity_0.1/18.tsv	9.99000999000999e-4	15.180886262135857
18	0.2	0.20347	./data/simulated_new/sparsity_0.2/18.tsv	9.99000999000999e-4	5.833296621241926
18	0.3	0.30295	./data/simulated_new/sparsity_0.3/18.tsv	9.99000999000999e-4	3.62815257296291
18	0.4	0.40267	./data/simulated_new/sparsity_0.4/18.tsv	9.99000999000999e-4	2.6617599357309025
18	0.5	0.50224	./data/simulated_new/sparsity_0.5/18.tsv	9.99000999000999e-4	2.0925991203251004
18	0.6	0.601735	./data/simulated_new/sparsity_0.6/18.tsv	9.99000999000999e-4	1.6368452391438093
18	0.7	0.701355	./data/simulated_new/sparsity_0.7/18.tsv	9.99000999000999e-4	1.5145066038671102
19	0	0.00497	./data/simulated_new/sparsity_0/19.tsv	9.99000999000999e-4	395.1231487114722
19	0.1	0.10449	./data/simulated_new/sparsity_0.1/19.tsv	9.99000999000999e-4	13.670873141794228
19	0.2	0.204075	./data/simulated_new/sparsity_0.2/19.tsv	9.99000999000999e-4	6.207700028141392
19	0.3	0.303345	./data/simulated_new/sparsity_0.3/19.tsv	9.99000999000999e-4	3.5301397569572974
19	0.4	0.403045	./data/simulated_new/sparsity_0.4/19.tsv	9.99000999000999e-4	2.5172238471525588
19	0.5	0.502355	./data/simulated_new/sparsity_0.5/19.tsv	9.99000999000999e-4	2.10510528217585
19	0.6	0.602045	./data/simulated_new/sparsity_0.6/19.tsv	9.99000999000999e-4	1.6155043003044551
19	0.7	0.701505	./data/simulated_new/sparsity_0.7/19.tsv	9.99000999000999e-4	1.4234221526866864
20	0	0.00487	./data/simulated_new/sparsity_0/20.tsv	9.99000999000999e-4	384.2271840355726
20	0.1	0.10443	./data/simulated_new/sparsity_0.1/20.tsv	9.99000999000999e-4	17.30002051213424
20	0.2	0.203885	./data/simulated_new/sparsity_0.2/20.tsv	9.99000999000999e-4	6.844060544010553
20	0.3	0.303345	./data/simulated_new/sparsity_0.3/20.tsv	9.99000999000999e-4	3.8259147654183354
20	0.4	0.402815	./data/simulated_new/sparsity_0.4/20.tsv	9.99000999000999e-4	2.5612468436304394
20	0.5	0.502465	./data/simulated_new/sparsity_0.5/20.tsv	9.99000999000999e-4	1.9573759975764542
20	0.6	0.601825	./data/simulated_new/sparsity_0.6/20.tsv	9.99000999000999e-4	2.0486521255227603
20	0.7	0.70146	./data/simulated_new/sparsity_0.7/20.tsv	9.99000999000999e-4	1.4555122840528116
21	0	0.00457	./data/simulated_new/sparsity_0/21.tsv	9.99000999000999e-4	380.7760088325462
21	0.1	0.10408	./data/simulated_new/sparsity_0.1/21.tsv	9.99000999000999e-4	14.566531814994732
21	0.2	0.20369	./data/simulated_new/sparsity_0.2/21.tsv	9.99000999000999e-4	5.8061162481414215
21	0.3	0.303235	./data/simulated_new/sparsity_0.3/21.tsv	9.99000999000999e-4	3.5983896675718494
21	0.4	0.40267	./data/simulated_new/sparsity_0.4/21.tsv	9.99000999000999e-4	2.6278239773027146
21	0.5	0.502475	./data/simulated_new/sparsity_0.5/21.tsv	9.99000999000999e-4	2.123591332703778
21	0.6	0.60193	./data/simulated_new/sparsity_0.6/21.tsv	9.99000999000999e-4	1.7158298735396027
21	0.7	0.70127	./data/simulated_new/sparsity_0.7/21.tsv	9.99000999000999e-4	1.3163291060010038
22	0	0.004235	./data/simulated_new/sparsity_0/22.tsv	9.99000999000999e-4	392.09317589973523
22	0.1	0.103765	./data/simulated_new/sparsity_0.1/22.tsv	9.99000999000999e-4	15.072061547965541
22	0.2	0.203265	./data/simulated_new/sparsity_0.2/22.tsv	9.99000999000999e-4	6.133485236405406
22	0.3	0.30293	./data/simulated_new/sparsity_0.3/22.tsv	9.99000999000999e-4	3.5352151633263014
22	0.4	0.402565	./data/simulated_new/sparsity_0.4/22.tsv	9.99000999000999e-4	2.647389989249627
22	0.5	0.501945	./data/simulated_new/sparsity_0.5/22.tsv	9.99000999000999e-4	2.132623788875279
22	0.6	0.60184	./data/simulated_new/sparsity_0.6/22.tsv	9.99000999000999e-4	1.716928118975067
22	0.7	0.701235	./data/simulated_new/sparsity_0.7/22.tsv	9.99000999000999e-4	1.37964047639717
23	0	0.004465	./data/simulated_new/sparsity_0/23.tsv	9.99000999000999e-4	369.7670731359732
23	0.1	0.10399	./data/simulated_new/sparsity_0.1/23.tsv	9.99000999000999e-4	15.036548945933067
23	0.2	0.203565	./data/simulated_new/sparsity_0.2/23.tsv	9.99000999000999e-4	6.253245810101515
23	0.3	0.30307	./data/simulated_new/sparsity_0.3/23.tsv	9.99000999000999e-4	3.8657683149104383
23	0.4	0.40267	./data/simulated_new/sparsity_0.4/23.tsv	9.99000999000999e-4	2.620543574279038
23	0.5	0.502115	./data/simulated_new/sparsity_0.5/23.tsv	9.99000999000999e-4	2.215343591673075
23	0.6	0.60185	./data/simulated_new/sparsity_0.6/23.tsv	9.99000999000999e-4	1.7878161945030948
23	0.7	0.701395	./data/simulated_new/sparsity_0.7/23.tsv	0.002997002997002997	1.2708346970133093
24	0	0.004415	./data/simulated_new/sparsity_0/24.tsv	9.99000999000999e-4	393.6954450217175
24	0.1	0.103975	./data/simulated_new/sparsity_0.1/24.tsv	9.99000999000999e-4	16.769260411840396
24	0.2	0.20352	./data/simulated_new/sparsity_0.2/24.tsv	9.99000999000999e-4	7.411250061899492
24	0.3	0.303015	./data/simulated_new/sparsity_0.3/24.tsv	9.99000999000999e-4	4.135821529717266
24	0.4	0.40257	./data/simulated_new/sparsity_0.4/24.tsv	9.99000999000999e-4	2.6288344957004646
24	0.5	0.502215	./data/simulated_new/sparsity_0.5/24.tsv	9.99000999000999e-4	2.178051497719577
24	0.6	0.601845	./data/simulated_new/sparsity_0.6/24.tsv	9.99000999000999e-4	1.8835650852073191
24	0.7	0.701365	./data/simulated_new/sparsity_0.7/24.tsv	9.99000999000999e-4	1.5395244212398356
25	0	0.005035	./data/simulated_new/sparsity_0/25.tsv	9.99000999000999e-4	363.2763238408773
25	0.1	0.104545	./data/simulated_new/sparsity_0.1/25.tsv	9.99000999000999e-4	18.830497401880827
25	0.2	0.203935	./data/simulated_new/sparsity_0.2/25.tsv	9.99000999000999e-4	7.350762029893813
25	0.3	0.30357	./data/simulated_new/sparsity_0.3/25.tsv	9.99000999000999e-4	4.34154682823354
25	0.4	0.403025	./data/simulated_new/sparsity_0.4/25.tsv	9.99000999000999e-4	3.066304040553258
25	0.5	0.50259	./data/simulated_new/sparsity_0.5/25.tsv	9.99000999000999e-4	2.0451446501919293
25	0.6	0.601915	./data/simulated_new/sparsity_0.6/25.tsv	9.99000999000999e-4	1.9953964564967435
25	0.7	0.701505	./data/simulated_new/sparsity_0.7/25.tsv	9.99000999000999e-4	1.6854881375571225
26	0	0.00415	./data/simulated_new/sparsity_0/26.tsv	9.99000999000999e-4	379.23605047775783
26	0.1	0.10374	./data/simulated_new/sparsity_0.1/26.tsv	9.99000999000999e-4	14.973484942129257
26	0.2	0.20331	./data/simulated_new/sparsity_0.2/26.tsv	9.99000999000999e-4	6.064686233658715
26	0.3	0.30293	./data/simulated_new/sparsity_0.3/26.tsv	9.99000999000999e-4	3.516067372708352
26	0.4	0.402425	./data/simulated_new/sparsity_0.4/26.tsv	9.99000999000999e-4	2.7663803256344384
26	0.5	0.50209	./data/simulated_new/sparsity_0.5/26.tsv	9.99000999000999e-4	1.9894940001085288
26	0.6	0.601655	./data/simulated_new/sparsity_0.6/26.tsv	9.99000999000999e-4	1.639905427168992
26	0.7	0.701205	./data/simulated_new/sparsity_0.7/26.tsv	9.99000999000999e-4	1.3423226523019471
27	0	0.00406	./data/simulated_new/sparsity_0/27.tsv	9.99000999000999e-4	373.7335875992592
27	0.1	0.103665	./data/simulated_new/sparsity_0.1/27.tsv	9.99000999000999e-4	13.903439002137278
27	0.2	0.203285	./data/simulated_new/sparsity_0.2/27.tsv	9.99000999000999e-4	5.847655344836271
27	0.3	0.30279	./data/simulated_new/sparsity_0.3/27.tsv	9.99000999000999e-4	3.4713834876610346
27	0.4	0.40256	./data/simulated_new/sparsity_0.4/27.tsv	9.99000999000999e-4	2.602213770470746
27	0.5	0.502105	./data/simulated_new/sparsity_0.5/27.tsv	9.99000999000999e-4	1.902542722063397
27	0.6	0.601735	./data/simulated_new/sparsity_0.6/27.tsv	9.99000999000999e-4	1.7857694222925204
27	0.7	0.701235	./data/simulated_new/sparsity_0.7/27.tsv	9.99000999000999e-4	1.3280999091734886
28	0	0.004275	./data/simulated_new/sparsity_0/28.tsv	9.99000999000999e-4	390.29417763054676
28	0.1	0.10391	./data/simulated_new/sparsity_0.1/28.tsv	9.99000999000999e-4	13.947202589844977
28	0.2	0.203465	./data/simulated_new/sparsity_0.2/28.tsv	9.99000999000999e-4	5.6524076478831216
28	0.3	0.30315	./data/simulated_new/sparsity_0.3/28.tsv	9.99000999000999e-4	3.114214496724179
28	0.4	0.402555	./data/simulated_new/sparsity_0.4/28.tsv	9.99000999000999e-4	2.408522773964848
28	0.5	0.502005	./data/simulated_new/sparsity_0.5/28.tsv	9.99000999000999e-4	1.973410032194917
28	0.6	0.60168	./data/simulated_new/sparsity_0.6/28.tsv	9.99000999000999e-4	1.7636985594101846
28	0.7	0.701185	./data/simulated_new/sparsity_0.7/28.tsv	9.99000999000999e-4	1.5384367438435531
29	0	0.00483	./data/simulated_new/sparsity_0/29.tsv	9.99000999000999e-4	381.4223478238751
29	0.1	0.10435	./data/simulated_new/sparsity_0.1/29.tsv	9.99000999000999e-4	16.192243455697025
29	0.2	0.20378	./data/simulated_new/sparsity_0.2/29.tsv	9.99000999000999e-4	6.768298749198847
29	0.3	0.303335	./data/simulated_new/sparsity_0.3/29.tsv	9.99000999000999e-4	4.116818432774885
29	0.4	0.402775	./data/simulated_new/sparsity_0.4/29.tsv	9.99000999000999e-4	2.6540459196334463
29	0.5	0.50251	./data/simulated_new/sparsity_0.5/29.tsv	9.99000999000999e-4	2.2626796005224112
29	0.6	0.601865	./data/simulated_new/sparsity_0.6/29.tsv	9.99000999000999e-4	1.672922533049384
29	0.7	0.70155	./data/simulated_new/sparsity_0.7/29.tsv	9.99000999000999e-4	1.5537360248318695
30	0	0.004315	./data/simulated_new/sparsity_0/30.tsv	9.99000999000999e-4	374.40944621945897
30	0.1	0.103845	./data/simulated_new/sparsity_0.1/30.tsv	9.99000999000999e-4	14.801234258531201
30	0.2	0.203465	./data/simulated_new/sparsity_0.2/30.tsv	9.99000999000999e-4	5.408955534502285
30	0.3	0.302975	./data/simulated_new/sparsity_0.3/30.tsv	9.99000999000999e-4	3.388997388449816
30	0.4	0.40263	./data/simulated_new/sparsity_0.4/30.tsv	9.99000999000999e-4	2.3678276261074656
30	0.5	0.50217	./data/simulated_new/sparsity_0.5/30.tsv	9.99000999000999e-4	1.9207171665648153
30	0.6	0.60171	./data/simulated_new/sparsity_0.6/30.tsv	9.99000999000999e-4	1.7691091458247818
30	0.7	0.70131	./data/simulated_new/sparsity_0.7/30.tsv	9.99000999000999e-4	1.5767176230771187
31	0	0.004315	./data/simulated_new/sparsity_0/31.tsv	9.99000999000999e-4	381.45762448594877
31	0.1	0.10385	./data/simulated_new/sparsity_0.1/31.tsv	9.99000999000999e-4	14.997385767159763
31	0.2	0.203495	./data/simulated_new/sparsity_0.2/31.tsv	9.99000999000999e-4	6.1420448208928615
31	0.3	0.30299	./data/simulated_new/sparsity_0.3/31.tsv	9.99000999000999e-4	3.7106658810538344
31	0.4	0.402595	./data/simulated_new/sparsity_0.4/31.tsv	9.99000999000999e-4	2.579474586655744
31	0.5	0.502085	./data/simulated_new/sparsity_0.5/31.tsv	9.99000999000999e-4	2.0537021615648596
31	0.6	0.601715	./data/simulated_new/sparsity_0.6/31.tsv	9.99000999000999e-4	1.8206209384078045
31	0.7	0.701295	./data/simulated_new/sparsity_0.7/31.tsv	9.99000999000999e-4	1.5130022837199244
32	0	0.0049	./data/simulated_new/sparsity_0/32.tsv	9.99000999000999e-4	377.5873902785279
32	0.1	0.10438	./data/simulated_new/sparsity_0.1/32.tsv	9.99000999000999e-4	16.075614905453705
32	0.2	0.20399	./data/simulated_new/sparsity_0.2/32.tsv	9.99000999000999e-4	6.475729198185695
32	0.3	0.303225	./data/simulated_new/sparsity_0.3/32.tsv	9.99000999000999e-4	4.067843426909415
32	0.4	0.40297	./data/simulated_new/sparsity_0.4/32.tsv	9.99000999000999e-4	2.9076571951006063
32	0.5	0.502515	./data/simulated_new/sparsity_0.5/32.tsv	9.99000999000999e-4	2.19102798109755
32	0.6	0.60196	./data/simulated_new/sparsity_0.6/32.tsv	9.99000999000999e-4	1.642925310952664
32	0.7	0.70161	./data/simulated_new/sparsity_0.7/32.tsv	9.99000999000999e-4	1.4543491320525297
33	0	0.00576	./data/simulated_new/sparsity_0/33.tsv	9.99000999000999e-4	389.3582920161062
33	0.1	0.10513	./data/simulated_new/sparsity_0.1/33.tsv	9.99000999000999e-4	17.903699038680653
