i	requested_sparsity	achieved_sparsity	output	pval	fval
8	0.5	0.502235	./data/simulated_new/sparsity_0.5/8.tsv	9.99000999000999e-4	2.0075865694439234
8	0.6	0.60178	./data/simulated_new/sparsity_0.6/8.tsv	9.99000999000999e-4	1.691427432341766
8	0.7	0.70139	./data/simulated_new/sparsity_0.7/8.tsv	9.99000999000999e-4	1.4819407971216951
9	0	0.00547	./data/simulated_new/sparsity_0/9.tsv	9.99000999000999e-4	5.205466555337598
9	0.1	0.1049	./data/simulated_new/sparsity_0.1/9.tsv	9.99000999000999e-4	4.519737386068886
9	0.2	0.204425	./data/simulated_new/sparsity_0.2/9.tsv	9.99000999000999e-4	3.571159665008689
9	0.3	0.303775	./data/simulated_new/sparsity_0.3/9.tsv	9.99000999000999e-4	2.9654167159034976
9	0.4	0.40316	./data/simulated_new/sparsity_0.4/9.tsv	9.99000999000999e-4	2.473096927981924
9	0.5	0.502705	./data/simulated_new/sparsity_0.5/9.tsv	9.99000999000999e-4	2.0596853779808657
9	0.6	0.6022	./data/simulated_new/sparsity_0.6/9.tsv	9.99000999000999e-4	1.735141562359335
9	0.7	0.701615	./data/simulated_new/sparsity_0.7/9.tsv	9.99000999000999e-4	1.531731597718471
10	0	0.004665	./data/simulated_new/sparsity_0/10.tsv	9.99000999000999e-4	5.211156409110203
10	0.1	0.1042	./data/simulated_new/sparsity_0.1/10.tsv	9.99000999000999e-4	4.492855305239762
10	0.2	0.203715	./data/simulated_new/sparsity_0.2/10.tsv	9.99000999000999e-4	3.6064070425960515
10	0.3	0.303325	./data/simulated_new/sparsity_0.3/10.tsv	9.99000999000999e-4	2.87259829677454
10	0.4	0.40276	./data/simulated_new/sparsity_0.4/10.tsv	9.99000999000999e-4	2.457462682782146
10	0.5	0.50246	./data/simulated_new/sparsity_0.5/10.tsv	9.99000999000999e-4	2.0094123576295124
10	0.6	0.60188	./data/simulated_new/sparsity_0.6/10.tsv	9.99000999000999e-4	1.6861488807790659
10	0.7	0.701445	./data/simulated_new/sparsity_0.7/10.tsv	9.99000999000999e-4	1.458368110647162
11	0	0.004595	./data/simulated_new/sparsity_0/11.tsv	9.99000999000999e-4	5.192118441012563
11	0.1	0.10413	./data/simulated_new/sparsity_0.1/11.tsv	9.99000999000999e-4	4.419931874576983
11	0.2	0.20364	./data/simulated_new/sparsity_0.2/11.tsv	9.99000999000999e-4	3.58727209171383
11	0.3	0.30316	./data/simulated_new/sparsity_0.3/11.tsv	9.99000999000999e-4	2.862610319479316
11	0.4	0.402835	./data/simulated_new/sparsity_0.4/11.tsv	9.99000999000999e-4	2.417642506905303
11	0.5	0.50224	./data/simulated_new/sparsity_0.5/11.tsv	9.99000999000999e-4	2.0103315479566604
